Wording Style,Option 1,Option 2,Question,Answer
4,Miguel Hidalgo,George Washington,Which is the more interesting historical figure? Miguel Hidalgo or George Washington? ... Answer with only and exactly one of these two options.,Miguel Hidalgo
4,Miguel Hidalgo,Emperor Meiji,Which is the more interesting historical figure? Miguel Hidalgo or Emperor Meiji? ... Answer with only and exactly one of these two options.,Miguel Hidalgo
5,Miguel Hidalgo,Otto von Bismarck,Who's the more interesting historical figure -- Miguel Hidalgo or Otto von Bismarck? Answer with only and exactly one of these two options.,Otto von Bismarck.
3,Miguel Hidalgo,Emperor Meiji,Who's a more interesting historical figure: Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Emperor Meiji.
5,Miguel Hidalgo,Theodoros Kolokotronis,Who's the more interesting historical figure -- Miguel Hidalgo or Theodoros Kolokotronis? Answer with only and exactly one of these two options.,Miguel Hidalgo
1,Miguel Hidalgo,George Washington,Who is the more interesting historical figure? Miguel Hidalgo or George Washington? Answer with only and exactly one of these two options.,Miguel Hidalgo
4,Miguel Hidalgo,Otto von Bismarck,Which is the more interesting historical figure? Miguel Hidalgo or Otto von Bismarck? ... Answer with only and exactly one of these two options.,Miguel Hidalgo
5,Miguel Hidalgo,Ho Chi Minh,Who's the more interesting historical figure -- Miguel Hidalgo or Ho Chi Minh? Answer with only and exactly one of these two options.,Miguel Hidalgo
1,Miguel Hidalgo,Otto von Bismarck,Who is the more interesting historical figure? Miguel Hidalgo or Otto von Bismarck? Answer with only and exactly one of these two options.,Miguel Hidalgo
4,Miguel Hidalgo,Theodoros Kolokotronis,Which is the more interesting historical figure? Miguel Hidalgo or Theodoros Kolokotronis? ... Answer with only and exactly one of these two options.,Miguel Hidalgo
2,Miguel Hidalgo,Emperor Meiji,Which is the more interesting historical figure? Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Emperor Meiji
2,Miguel Hidalgo,Otto von Bismarck,Which is the more interesting historical figure? Miguel Hidalgo or Otto von Bismarck? Answer with only and exactly one of these two options.,Miguel Hidalgo
3,Miguel Hidalgo,George Washington,Who's a more interesting historical figure: Miguel Hidalgo or George Washington? Answer with only and exactly one of these two options.,Miguel Hidalgo
1,Miguel Hidalgo,Emperor Meiji,Who is the more interesting historical figure? Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Miguel Hidalgo
2,Miguel Hidalgo,George Washington,Which is the more interesting historical figure? Miguel Hidalgo or George Washington? Answer with only and exactly one of these two options.,Miguel Hidalgo
5,Miguel Hidalgo,Emperor Meiji,Who's the more interesting historical figure -- Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Miguel Hidalgo
4,Miguel Hidalgo,Mahatma Gandhi,Which is the more interesting historical figure? Miguel Hidalgo or Mahatma Gandhi? ... Answer with only and exactly one of these two options.,Mahatma Gandhi.
3,Miguel Hidalgo,Mahatma Gandhi,Who's a more interesting historical figure: Miguel Hidalgo or Mahatma Gandhi? Answer with only and exactly one of these two options.,Mahatma Gandhi.
1,Miguel Hidalgo,Nnamdi Azikiwe,Who is the more interesting historical figure? Miguel Hidalgo or Nnamdi Azikiwe? Answer with only and exactly one of these two options.,Miguel Hidalgo
1,Miguel Hidalgo,Theodoros Kolokotronis,Who is the more interesting historical figure? Miguel Hidalgo or Theodoros Kolokotronis? Answer with only and exactly one of these two options.,Miguel Hidalgo
5,Miguel Hidalgo,Mahatma Gandhi,Who's the more interesting historical figure -- Miguel Hidalgo or Mahatma Gandhi? Answer with only and exactly one of these two options.,Mahatma Gandhi
1,Miguel Hidalgo,Ho Chi Minh,Who is the more interesting historical figure? Miguel Hidalgo or Ho Chi Minh? Answer with only and exactly one of these two options.,Miguel Hidalgo
1,Miguel Hidalgo,Saladin,Who is the more interesting historical figure? Miguel Hidalgo or Saladin? Answer with only and exactly one of these two options.,Saladin
2,Miguel Hidalgo,Nnamdi Azikiwe,Which is the more interesting historical figure? Miguel Hidalgo or Nnamdi Azikiwe? Answer with only and exactly one of these two options.,Miguel Hidalgo
4,Miguel Hidalgo,Saladin,Which is the more interesting historical figure? Miguel Hidalgo or Saladin? ... Answer with only and exactly one of these two options.,Saladin
3,Miguel Hidalgo,José Rizal,Who's a more interesting historical figure: Miguel Hidalgo or José Rizal? Answer with only and exactly one of these two options.,José Rizal
4,Miguel Hidalgo,Nnamdi Azikiwe,Which is the more interesting historical figure? Miguel Hidalgo or Nnamdi Azikiwe? ... Answer with only and exactly one of these two options.,Nnamdi Azikiwe
1,Miguel Hidalgo,José Rizal,Who is the more interesting historical figure? Miguel Hidalgo or José Rizal? Answer with only and exactly one of these two options.,José Rizal.
5,Miguel Hidalgo,Saladin,Who's the more interesting historical figure -- Miguel Hidalgo or Saladin? Answer with only and exactly one of these two options.,Saladin
