Wording Style,Option 1,Option 2,Question,Answer
3,Miguel Hidalgo,Theodoros Kolokotronis,Who's a more interesting historical figure: Miguel Hidalgo or Theodoros Kolokotronis? Answer with only and exactly one of these two options.,Theodoros Kolokotronis
2,Miguel Hidalgo,Saladin,Which is the more interesting historical figure? Miguel Hidalgo or Saladin? Answer with only and exactly one of these two options.,Saladin
5,Miguel Hidalgo,Saladin,Who's the more interesting historical figure -- Miguel Hidalgo or Saladin? Answer with only and exactly one of these two options.,Saladin
2,Miguel Hidalgo,Otto von Bismarck,Which is the more interesting historical figure? Miguel Hidalgo or Otto von Bismarck? Answer with only and exactly one of these two options.,Otto von Bismarck
2,Miguel Hidalgo,Theodoros Kolokotronis,Which is the more interesting historical figure? Miguel Hidalgo or Theodoros Kolokotronis? Answer with only and exactly one of these two options.,Miguel Hidalgo
3,Miguel Hidalgo,Emperor Meiji,Who's a more interesting historical figure: Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Emperor Meiji
2,Miguel Hidalgo,George Washington,Which is the more interesting historical figure? Miguel Hidalgo or George Washington? Answer with only and exactly one of these two options.,Miguel Hidalgo
4,Miguel Hidalgo,Saladin,Which is the more interesting historical figure? Miguel Hidalgo or Saladin? ... Answer with only and exactly one of these two options.,Saladin
4,Miguel Hidalgo,Otto von Bismarck,Which is the more interesting historical figure? Miguel Hidalgo or Otto von Bismarck? ... Answer with only and exactly one of these two options.,Otto von Bismarck
5,Miguel Hidalgo,George Washington,Who's the more interesting historical figure -- Miguel Hidalgo or George Washington? Answer with only and exactly one of these two options.,Miguel Hidalgo
1,Miguel Hidalgo,Saladin,Who is the more interesting historical figure? Miguel Hidalgo or Saladin? Answer with only and exactly one of these two options.,Saladin
4,Miguel Hidalgo,Emperor Meiji,Which is the more interesting historical figure? Miguel Hidalgo or Emperor Meiji? ... Answer with only and exactly one of these two options.,Emperor Meiji
5,Miguel Hidalgo,Ho Chi Minh,Who's the more interesting historical figure -- Miguel Hidalgo or Ho Chi Minh? Answer with only and exactly one of these two options.,Ho Chi Minh
2,Miguel Hidalgo,Ho Chi Minh,Which is the more interesting historical figure? Miguel Hidalgo or Ho Chi Minh? Answer with only and exactly one of these two options.,Ho Chi Minh
2,Miguel Hidalgo,Mahatma Gandhi,Which is the more interesting historical figure? Miguel Hidalgo or Mahatma Gandhi? Answer with only and exactly one of these two options.,Mahatma Gandhi
4,Miguel Hidalgo,Ho Chi Minh,Which is the more interesting historical figure? Miguel Hidalgo or Ho Chi Minh? ... Answer with only and exactly one of these two options.,Ho Chi Minh
2,Miguel Hidalgo,Emperor Meiji,Which is the more interesting historical figure? Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Emperor Meiji
5,Miguel Hidalgo,Otto von Bismarck,Who's the more interesting historical figure -- Miguel Hidalgo or Otto von Bismarck? Answer with only and exactly one of these two options.,Otto von Bismarck
3,Miguel Hidalgo,Ho Chi Minh,Who's a more interesting historical figure: Miguel Hidalgo or Ho Chi Minh? Answer with only and exactly one of these two options.,Ho Chi Minh
5,Miguel Hidalgo,Theodoros Kolokotronis,Who's the more interesting historical figure -- Miguel Hidalgo or Theodoros Kolokotronis? Answer with only and exactly one of these two options.,Theodoros Kolokotronis
4,Miguel Hidalgo,Theodoros Kolokotronis,Which is the more interesting historical figure? Miguel Hidalgo or Theodoros Kolokotronis? ... Answer with only and exactly one of these two options.,Theodoros Kolokotronis
1,Miguel Hidalgo,George Washington,Who is the more interesting historical figure? Miguel Hidalgo or George Washington? Answer with only and exactly one of these two options.,Miguel Hidalgo
3,Miguel Hidalgo,George Washington,Who's a more interesting historical figure: Miguel Hidalgo or George Washington? Answer with only and exactly one of these two options.,Miguel Hidalgo
1,Miguel Hidalgo,Otto von Bismarck,Who is the more interesting historical figure? Miguel Hidalgo or Otto von Bismarck? Answer with only and exactly one of these two options.,Otto von Bismarck
4,Miguel Hidalgo,George Washington,Which is the more interesting historical figure? Miguel Hidalgo or George Washington? ... Answer with only and exactly one of these two options.,Miguel Hidalgo
5,Miguel Hidalgo,Emperor Meiji,Who's the more interesting historical figure -- Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Emperor Meiji
1,Miguel Hidalgo,Mahatma Gandhi,Who is the more interesting historical figure? Miguel Hidalgo or Mahatma Gandhi? Answer with only and exactly one of these two options.,Mahatma Gandhi
3,Miguel Hidalgo,Otto von Bismarck,Who's a more interesting historical figure: Miguel Hidalgo or Otto von Bismarck? Answer with only and exactly one of these two options.,Otto von Bismarck
1,Miguel Hidalgo,Emperor Meiji,Who is the more interesting historical figure? Miguel Hidalgo or Emperor Meiji? Answer with only and exactly one of these two options.,Emperor Meiji
1,Miguel Hidalgo,Ho Chi Minh,Who is the more interesting historical figure? Miguel Hidalgo or Ho Chi Minh? Answer with only and exactly one of these two options.,Ho Chi Minh
1,Miguel Hidalgo,Theodoros Kolokotronis,Who is the more interesting historical figure? Miguel Hidalgo or Theodoros Kolokotronis? Answer with only and exactly one of these two options.,Theodoros Kolokotronis
3,Miguel Hidalgo,Mahatma Gandhi,Who's a more interesting historical figure: Miguel Hidalgo or Mahatma Gandhi? Answer with only and exactly one of these two options.,Mahatma Gandhi
