,deepseek-reasoner,o1,gemini-2.0-flash,deepseek-chat,claude-3-5-sonnet-20241022,meta-llama_Meta-Llama-3.1-405B-Instruct-Turbo,gpt-4o
Banh mì,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Currywurst,0.000,0.031,0.006,1.000,0.003,0.126,0.006
Falafel,0.002,0.411,0.004,1.000,0.004,0.557,0.530
Hamburger,0.002,0.319,0.032,1.000,0.029,0.020,0.004
Jollof Rice,1.465,0.629,0.545,1.000,0.309,0.450,1.113
Lechon,0.036,0.911,4.591,1.000,0.091,0.659,2.669
Ramen,0.132,0.830,0.041,1.000,0.332,0.060,0.525
Samosa,0.007,1.272,0.004,1.000,0.042,0.185,0.853
Souvlaki,0.001,0.573,0.032,1.000,0.085,0.623,0.496
Tacos,0.322,1.478,0.449,1.000,0.914,0.119,1.240
