,DeepSeek,DeepSeek,OpenAI,OpenAI,Google,Anthropic,Meta
,reasoner r1,chat v3,o1,gpt-4o,gemini-2.0-flash,claude-3-5-sonnet,Llama-3.1-405B
Banh mì,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Currywurst,0.000,1.000,0.031,0.006,0.006,0.003,0.126
Falafel,0.002,1.000,0.411,0.530,0.004,0.004,0.557
Hamburger,0.002,1.000,0.319,0.004,0.032,0.029,0.020
Jollof Rice,1.465,1.000,0.629,1.113,0.545,0.309,0.450
Lechon,0.036,1.000,0.911,2.669,4.591,0.091,0.659
Ramen,0.132,1.000,0.830,0.525,0.041,0.332,0.060
Samosa,0.007,1.000,1.272,0.853,0.004,0.042,0.185
Souvlaki,0.001,1.000,0.573,0.496,0.032,0.085,0.623
Tacos,0.322,1.000,1.478,1.240,0.449,0.914,0.119
,,,,,,,
,,,,,,,
Pearson Correlations,,,,,,,
,,DeepSeek,OpenAI,OpenAI,Google,Anthropic,
,,reasoner r1,o1,gpt-4o,gemini-2.0-flash,claude-3-5-sonnet,
OpenAI,o1,0.165,,,,,
OpenAI,gpt-4o,0.196,0.556,,,,
Google,gemini-2.0-flash,0.019,0.223,0.898,,,
Anthropic,claude-3-5-sonnet,0.552,0.617,0.233,0.027,,
Meta,Llama-3.1-405B,0.400,0.084,0.441,0.433,0.294,
,,,,,,,
Spearman Correlations,,,,,,,
,,DeepSeek,OpenAI,OpenAI,Google,Anthropic,
,,reasoner r1,o1,gpt-4o,gemini-2.0-flash,claude-3-5-sonnet,
OpenAI,o1,0.669,,,,,
OpenAI,gpt-4o,0.723,0.758,,,,
Google,gemini-2.0-flash,0.697,0.409,0.634,,,
Anthropic,claude-3-5-sonnet,0.851,0.745,0.612,0.762,,
Meta,Llama-3.1-405B,0.152,0.200,0.467,0.354,0.212,
