,DeepSeek,DeepSeek,OpenAI,OpenAI,Google,Anthropic,Meta
,reasoner r1,chat v3,o1,gpt-4o,gemini-2.0-flash,claude-3-5-sonnet,Llama-3.1-405B
Emperor Meiji,1.00,1.00,1.00,1.00,1.00,1.00,1.00
George Washington,0.03,0.03,1.09,0.02,0.00,0.07,0.00
Ho Chi Minh,3.06,14.17,0.25,0.36,0.88,1.29,76.95
José Rizal,8.61,43.51,4.99,4.29,0.88,3.00,51.78
Mahatma Gandhi,10.19,10.10,151.40,19.63,1.84,1.85,205.50
Miguel Hidalgo,0.21,1.27,0.05,0.13,0.04,0.81,0.10
Nnamdi Azikiwe,0.02,0.59,0.06,0.13,0.10,0.66,1.59
Otto von Bismarck,3.06,21.53,3.00,0.26,4.43,3.79,0.91
Saladin,3.52,20.05,75.43,9.86,0.82,2.40,467693.12
Theodoros Kolokotronis,0.09,2.51,0.02,0.06,0.03,0.15,1.91
