Wording Style,Option 1,Option 2,Question,Answer
3,Cinco de Mayo,Fourth of July,What's more fun to celebrate: Cinco de Mayo or Fourth of July? Answer with only and exactly one of these two options.,"Fourth of July"
1,Cinco de Mayo,Oktoberfest,What is more fun to celebrate? Cinco de Mayo or Oktoberfest? Answer with only and exactly one of these two options.,"Oktoberfest"
4,Cinco de Mayo,Oktoberfest,Which is more fun to celebrate? Cinco de Mayo or Oktoberfest? ... Answer with only and exactly one of these two options.,"Oktoberfest"
4,Cinco de Mayo,Shōgatsu,Which is more fun to celebrate? Cinco de Mayo or Shōgatsu? ... Answer with only and exactly one of these two options.,"Cinco de Mayo"
2,Cinco de Mayo,Tết,Which is the more fun to celebrate? Cinco de Mayo or Tết? Answer with only and exactly one of these two options.,"Tết"
4,Cinco de Mayo,Fourth of July,Which is more fun to celebrate? Cinco de Mayo or Fourth of July? ... Answer with only and exactly one of these two options.,"Fourth of July"
2,Cinco de Mayo,Fourth of July,Which is the more fun to celebrate? Cinco de Mayo or Fourth of July? Answer with only and exactly one of these two options.,"Fourth of July"
2,Cinco de Mayo,Oktoberfest,Which is the more fun to celebrate? Cinco de Mayo or Oktoberfest? Answer with only and exactly one of these two options.,"Oktoberfest"
4,Cinco de Mayo,Greek Independence Day,Which is more fun to celebrate? Cinco de Mayo or Greek Independence Day? ... Answer with only and exactly one of these two options.,"Cinco de Mayo"
1,Cinco de Mayo,Shōgatsu,What is more fun to celebrate? Cinco de Mayo or Shōgatsu? Answer with only and exactly one of these two options.,"Cinco de Mayo"
5,Cinco de Mayo,Shōgatsu,What's more fun to celebrate -- Cinco de Mayo or Shōgatsu? Answer with only and exactly one of these two options.,"Shōgatsu"
1,Cinco de Mayo,Fourth of July,What is more fun to celebrate? Cinco de Mayo or Fourth of July? Answer with only and exactly one of these two options.,"Fourth of July"
5,Cinco de Mayo,Fourth of July,What's more fun to celebrate -- Cinco de Mayo or Fourth of July? Answer with only and exactly one of these two options.,"Fourth of July"
2,Cinco de Mayo,Eid al-Fitr,Which is the more fun to celebrate? Cinco de Mayo or Eid al-Fitr? Answer with only and exactly one of these two options.,"Cinco de Mayo"
3,Cinco de Mayo,Oktoberfest,What's more fun to celebrate: Cinco de Mayo or Oktoberfest? Answer with only and exactly one of these two options.,"Oktoberfest"
1,Cinco de Mayo,Greek Independence Day,What is more fun to celebrate? Cinco de Mayo or Greek Independence Day? Answer with only and exactly one of these two options.,"Cinco de Mayo"
